order,indices,coefficient
1,318,-3.335668647853092E-5
1,197,3.3149103493913645E-5
1,481,-3.292634703987911E-5
1,898,-3.285674351311886E-5
1,693,-3.269596029118942E-5
1,156,-3.251548266478395E-5
1,314,-3.2317631574519614E-5
1,322,-3.155503301553177E-5
1,519,3.1034258779853985E-5
1,934,3.0258970900984563E-5
1,981,-2.952328910093599E-5
1,525,-2.9375546783445977E-5
1,276,2.9300305588939703E-5
1,143,-2.9155719289582426E-5
1,653,-2.8359452562818286E-5
1,155,-2.8303737990896417E-5
1,78,-2.8033323028909872E-5
1,280,2.7595303320232052E-5
1,767,-2.716453771656452E-5
1,528,2.6291514356574327E-5
1,650,-2.6067543206878028E-5
1,339,-2.605237694247975E-5
1,269,2.564988021571882E-5
1,516,2.5405948892093424E-5
1,306,2.5391232323964633E-5
1,226,-2.5335194007717068E-5
1,325,2.5081900882803072E-5
